ba_60_8_8
60
5
7
-2
5
-2
-3
3
-5
3
5
2
7
3
-7
-8
8
5
-4
-8
-8
2
4
-8
6
6
6
3
7
-6
-3
4
-2
-3
4
-4
6
3
-8
-3
3
-8
-6
8
4
-6
-2
-2
2
-7
-7
-5
8
-4
-4
-4
-4
-3
2
-8
2
0 1 2
20 27 7
20 29 4
20 30 -7
20 31 -6
20 34 -2
20 35 5
20 37 5
20 38 6
20 41 -3
20 48 3
20 50 -3
20 51 -5
20 53 2
20 54 -3
20 55 -2
20 57 2
20 59 3
21 22 -6
21 24 2
21 27 4
21 30 -2
21 31 3
21 34 -4
21 36 3
21 41 -2
21 43 6
21 45 2
21 51 5
21 52 6
22 24 3
22 33 3
22 36 6
22 39 -2
22 42 5
22 51 6
22 55 -5
23 24 6
23 27 4
23 34 3
23 35 6
23 40 -4
23 47 -2
23 48 -2
23 52 6
23 54 3
24 26 -8
24 28 6
24 33 6
24 36 -5
24 38 4
24 39 6
24 42 -7
24 46 -3
24 47 -2
24 48 5
24 54 -4
25 28 3
25 43 5
25 59 -4
26 31 -7
26 35 8
26 36 -5
26 38 3
26 44 -3
26 53 -5
26 55 -2
27 28 -4
27 29 -8
27 30 6
27 31 2
27 34 3
27 35 8
27 39 -2
27 46 4
27 48 2
27 50 7
27 52 -7
27 56 5
27 57 3
27 58 8
28 32 2
28 58 6
29 30 4
29 33 5
29 42 -4
29 50 -2
29 53 -7
30 56 8
31 41 7
31 51 3
31 56 -5
32 34 7
32 37 8
32 49 6
33 45 6
33 54 -8
33 57 -5
34 44 5
34 59 -8
35 40 8
37 49 3
38 39 3
38 40 -7
38 44 -6
40 47 -5
40 54 6
41 43 5
41 51 -3
42 55 7
43 45 6
43 49 -2
44 49 -3
44 50 5
44 59 4
45 57 -4
49 55 -3
49 59 3
50 58 -2
51 54 -3
-1
-974
